timestamp, frame, x, y, z, qx, qy, qz, qw
1968362.863007416, 000934, -0.011684708, 0.060511015, 0.42186755, 0.6811252, -0.61259174, -0.090967074, 0.39054433
1968362.879675833, 000935, -0.013303652, 0.0618719, 0.42236817, 0.68186677, -0.61256444, -0.09164303, 0.38913274
1968362.896344208, 000936, -0.014870762, 0.06327449, 0.4228296, 0.6827417, -0.61281514, -0.09187615, 0.38714355
1968362.913012583, 000937, -0.016390033, 0.065457396, 0.4236397, 0.68347585, -0.61335784, -0.09182166, 0.38499582
1968362.929680875, 000938, -0.017818652, 0.0671005, 0.42413965, 0.68365765, -0.6140467, -0.09231524, 0.38345367
1968362.946349333, 000939, -0.019237459, 0.068541996, 0.4245605, 0.6834242, -0.61454725, -0.09354113, 0.3827704
1968362.963017666, 000940, -0.020704627, 0.06988435, 0.4250084, 0.68327343, -0.61468256, -0.09527719, 0.38239393
1968362.979686041, 000941, -0.022236243, 0.07115259, 0.42551392, 0.68354464, -0.6145316, -0.09720362, 0.38166636
1968362.996354458, 000942, -0.023805559, 0.07233356, 0.42605743, 0.68418956, -0.6145007, -0.09873112, 0.38016543
1968363.013022833, 000943, -0.025575697, 0.07362387, 0.426339, 0.6849474, -0.61476886, -0.09949317, 0.3781632
1968363.02969125, 000944, -0.027218588, 0.074702404, 0.4267696, 0.6855835, -0.6151678, -0.099811494, 0.37627333
1968363.046359666, 000945, -0.028819902, 0.0756557, 0.4272467, 0.6861227, -0.6152109, -0.09997842, 0.37517387
1968363.063027916, 000946, -0.030387282, 0.076529846, 0.427772, 0.68671185, -0.61465853, -0.10046568, 0.37487137
1968363.079696416, 000947, -0.031902768, 0.077345856, 0.42838535, 0.6874919, -0.61375624, -0.1014154, 0.37466404
1968363.096364708, 000948, -0.033348672, 0.07815433, 0.42910922, 0.6885259, -0.61300844, -0.10261461, 0.3736616
1968363.113033083, 000949, -0.034698322, 0.07896523, 0.42989698, 0.68968534, -0.6127928, -0.10351711, 0.3716226
1968363.129701541, 000950, -0.03621246, 0.08037644, 0.43093592, 0.69082534, -0.6129958, -0.10394577, 0.3690416
1968363.146369916, 000951, -0.03744535, 0.08131016, 0.4317224, 0.691624, -0.6133547, -0.10418228, 0.3668766
1968363.163038333, 000952, -0.03853494, 0.08203346, 0.43237492, 0.69208163, -0.6135179, -0.10461901, 0.36561424
1968363.179706666, 000953, -0.039537884, 0.08267032, 0.43296903, 0.69240034, -0.61332715, -0.105405346, 0.36510453
1968363.196375125, 000954, -0.04045672, 0.08330869, 0.43355373, 0.6928908, -0.6129626, -0.10616688, 0.36456513
1968363.213043458, 000955, -0.041242227, 0.083985224, 0.43412703, 0.6935868, -0.6128837, -0.106293984, 0.3633352
1968363.229711708, 000956, -0.042113706, 0.08504615, 0.43410057, 0.6942074, -0.61335814, -0.10550871, 0.36157402
1968363.246380208, 000957, -0.04261128, 0.085892774, 0.43440777, 0.69451845, -0.61419994, -0.10482433, 0.35974205
1968363.263048583, 000958, -0.04290901, 0.08671604, 0.43483478, 0.6946049, -0.6149169, -0.10492865, 0.35831717
1968363.279716958, 000959, -0.0430794, 0.08758245, 0.43531793, 0.69466066, -0.6153935, -0.105890505, 0.3571057
1968363.296385375, 000960, -0.043131687, 0.088508554, 0.43582243, 0.69478697, -0.61602026, -0.10690283, 0.35547414
1968363.313053791, 000961, -0.043060653, 0.0894766, 0.4363159, 0.69492686, -0.61710376, -0.107267454, 0.35320437
1968363.329722166, 000962, -0.04291582, 0.09063934, 0.43661904, 0.6949125, -0.6185083, -0.10711442, 0.35081437
1968363.346390583, 000963, -0.042674817, 0.09171259, 0.437061, 0.6946982, -0.61985564, -0.107220665, 0.3488226
1968363.363058833, 000964, -0.042386323, 0.09280058, 0.43759918, 0.69436544, -0.6208415, -0.10814305, 0.34744453
1968363.379727208, 000965, -0.042073175, 0.09394257, 0.43822062, 0.69406044, -0.62154776, -0.10964449, 0.3463186
1968363.396395583, 000966, -0.0417459, 0.09518557, 0.43890554, 0.69387174, -0.62234336, -0.11107872, 0.34480754
1968363.413064, 000967, -0.04170444, 0.096381254, 0.43916017, 0.6935341, -0.6235759, -0.11193846, 0.34297732
1968363.429732416, 000968, -0.04144267, 0.09778053, 0.4396878, 0.692921, -0.62499326, -0.11277438, 0.3413589
1968363.446400791, 000969, -0.04113067, 0.099317856, 0.44032258, 0.69211704, -0.62612873, -0.11412992, 0.34045735
1968363.463069166, 000970, -0.04082048, 0.100967236, 0.44103062, 0.6912744, -0.6268147, -0.11615246, 0.34022295
1968363.479737541, 000971, -0.040510647, 0.10275072, 0.44181722, 0.6904706, -0.6273708, -0.11857594, 0.33999422
1968363.496405875, 000972, -0.040193856, 0.10471839, 0.44268727, 0.6896849, -0.62812126, -0.12126848, 0.3392526
1968363.513074291, 000973, -0.039839238, 0.10686017, 0.4436344, 0.6887391, -0.6293598, -0.12406088, 0.33786625
1968363.529742625, 000974, -0.0395621, 0.10957446, 0.44475698, 0.68756205, -0.6309804, -0.12702145, 0.33613673
1968363.546411083, 000975, -0.039169498, 0.11213703, 0.445894, 0.6862684, -0.63268715, -0.1300975, 0.3343909
1968363.563079458, 000976, -0.03875178, 0.114755936, 0.44710487, 0.6850241, -0.63385874, -0.13369498, 0.3333028
1968363.579747833, 000977, -0.038304232, 0.1175157, 0.44841748, 0.68385154, -0.6343819, -0.13797867, 0.3329695
1968363.59641625, 000978, -0.03776469, 0.12042595, 0.449843, 0.6825234, -0.63469625, -0.14295882, 0.33299458
1968363.613084583, 000979, -0.037079073, 0.12348345, 0.45140123, 0.6809811, -0.63524836, -0.14867704, 0.332595
1968363.629752916, 000980, -0.03674555, 0.12669861, 0.45267296, 0.6794184, -0.6361788, -0.15466787, 0.3312778
1968363.646421291, 000981, -0.035867445, 0.13007015, 0.45435256, 0.67771655, -0.6376058, -0.16061318, 0.32918468
1968363.663089666, 000982, -0.034719832, 0.1335591, 0.45618623, 0.6757212, -0.63909036, -0.1666981, 0.3273775
1968363.679758, 000983, -0.033414707, 0.13716888, 0.45811498, 0.67355186, -0.6401907, -0.17326622, 0.326286
1968363.6964265, 000984, -0.031979553, 0.14087941, 0.4601345, 0.6712824, -0.640771, -0.18067446, 0.32580552
1968363.713094875, 000985, -0.030410655, 0.14467004, 0.46221817, 0.6688257, -0.6410037, -0.18895254, 0.32570434
1968363.72976325, 000986, -0.028973855, 0.14818963, 0.46421546, 0.6660959, -0.6414159, -0.19745949, 0.32544088
1968363.746431666, 000987, -0.027223758, 0.15196311, 0.46634632, 0.6631045, -0.6427078, -0.20499176, 0.3243416
1968363.7631, 000988, -0.02531664, 0.15582155, 0.4685769, 0.6602328, -0.64439523, -0.21174559, 0.32250783
1968363.779768291, 000989, -0.023309872, 0.15969642, 0.47089797, 0.6574514, -0.64574474, -0.21874256, 0.3208163
1968363.796436666, 000990, -0.021817818, 0.16276513, 0.47265673, 0.6542708, -0.64647156, -0.22686905, 0.32021046
1968363.813105041, 000991, -0.01984281, 0.16631126, 0.4748922, 0.6507321, -0.64699703, -0.23547122, 0.32014975
1968363.829773458, 000992, -0.017674, 0.16998656, 0.47733146, 0.6472744, -0.64759403, -0.24375707, 0.31975073
1968363.846441875, 000993, -0.0154051175, 0.17364974, 0.4798935, 0.6441568, -0.64829457, -0.2515622, 0.318579
1968363.86311025, 000994, -0.013058736, 0.17723502, 0.48253965, 0.64126426, -0.6488632, -0.25934035, 0.31701627
1968363.879778625, 000995, -0.010643609, 0.18073514, 0.48523664, 0.63833636, -0.64906514, -0.26763675, 0.31561342
1968363.896447083, 000996, -0.008162237, 0.18414673, 0.48793465, 0.6352485, -0.64913416, -0.27617922, 0.31433943
1968363.913115333, 000997, -0.005999863, 0.18683068, 0.4902737, 0.6321497, -0.64928204, -0.28436235, 0.31298193
1968363.929783708, 000998, -0.0034457068, 0.18989572, 0.49277717, 0.62910455, -0.64952993, -0.29200226, 0.31156558
1968363.946452083, 000999, -0.0007070303, 0.19299544, 0.49525875, 0.62593114, -0.6496876, -0.29941526, 0.31059074
1968363.9631205, 001000, 0.0021446724, 0.19602229, 0.49769515, 0.6225131, -0.64974684, -0.3067466, 0.3101823
1968363.979788916, 001001, 0.005070314, 0.1989688, 0.500107, 0.61906403, -0.6495811, -0.31398022, 0.31019458
1968363.996457291, 001002, 0.008051627, 0.20178637, 0.5024701, 0.6158481, -0.6492155, -0.32078835, 0.310395
1968364.013125625, 001003, 0.010850006, 0.2039254, 0.50465256, 0.61294657, -0.64879704, -0.32683626, 0.31070408
1968364.029794041, 001004, 0.013869688, 0.20626281, 0.50687313, 0.610301, -0.648348, -0.33236873, 0.31097996
1968364.046462375, 001005, 0.017001413, 0.20857812, 0.5091417, 0.60783, -0.64778453, -0.33789167, 0.31104204
1968364.063130666, 001006, 0.020236224, 0.21081623, 0.5114493, 0.6053593, -0.6472664, -0.34350163, 0.3107939
1968364.079799208, 001007, 0.023573907, 0.21295474, 0.5137525, 0.60286444, -0.64700913, -0.3489304, 0.31013083
1968364.0964675, 001008, 0.0269883, 0.2150047, 0.51597947, 0.60033894, -0.6471724, -0.35380784, 0.3091618
1968364.113135875, 001009, 0.030421138, 0.2170576, 0.51775044, 0.59764135, -0.64757335, -0.35812318, 0.30857974
1968364.12980425, 001010, 0.03385047, 0.21901305, 0.5197201, 0.59495014, -0.6476533, -0.36239424, 0.30862617
1968364.146472625, 001011, 0.037316844, 0.22095692, 0.5217723, 0.59248215, -0.6473404, -0.36665624, 0.30899596
1968364.163141, 001012, 0.040902793, 0.22288683, 0.52381754, 0.58995163, -0.64707977, -0.37080655, 0.30943117
1968364.179809416, 001013, 0.044638164, 0.22477005, 0.52577835, 0.58696395, -0.6471014, -0.37489218, 0.31014362
1968364.196477708, 001014, 0.048157923, 0.22668394, 0.52717406, 0.5835341, -0.6473679, -0.3788476, 0.3112513
1968364.213146166, 001015, 0.051920384, 0.2284194, 0.5288909, 0.580394, -0.6475529, -0.3825502, 0.31220728
1968364.229814458, 001016, 0.055801235, 0.2300912, 0.5307883, 0.577832, -0.6476281, -0.38605008, 0.31249526
1968364.246482875, 001017, 0.059812292, 0.23169786, 0.5327469, 0.5752477, -0.647985, -0.38939053, 0.31237876
1968364.26315125, 001018, 0.06391866, 0.2331814, 0.5346933, 0.5721942, -0.6485494, -0.39280444, 0.31254137
1968364.279819625, 001019, 0.06803881, 0.23453562, 0.53669536, 0.56916183, -0.64894545, -0.3962617, 0.3128922
1968364.296488041, 001020, 0.07242329, 0.23606926, 0.5385925, 0.56699204, -0.6491714, -0.39923713, 0.31258002
1968364.313156416, 001021, 0.07667106, 0.23738259, 0.5407732, 0.565414, -0.6492502, -0.4020881, 0.3116189
